DT_DISPATCH,ISO_COUNTRY_CODE,TYPE_OF_CONTRACT,CPV,LOTS_NUMBER,VALUE_EURO,CRIT_CODE,CPV_GROUP
17/05/22,ES,U,33184300.0,85.0,23863824.0,M,33
19/07/18,ES,S,50300000.0,2.0,270000.0,L,50
17/05/19,ES,U,38000000.0,106.0,4745623.08,M,38
02/11/22,ES,U,35113400.0,26.0,544914.0,,35
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
14/09/21,ES,U,30197630.0,6.0,542602.13,M,30
30/07/21,ES,U,9310000.0,2.0,9603198.91,M,93
13/01/23,ES,S,60130000.0,140.0,23329650.24,M,60
19/10/23,ES,S,50111000.0,2.0,336815.03,M,50
20/09/18,ES,S,48500000.0,1.0,526800.0,,48
03/12/21,ES,S,80400000.0,8.0,,,80
26/12/19,ES,S,71000000.0,12.0,795240.57,,71
16/09/21,ES,S,66515000.0,1.0,297000.0,L,66
03/04/19,ES,S,50750000.0,2.0,556354.56,,50
23/04/21,ES,S,77312000.0,2.0,495747.81,L,77
23/11/20,ES,S,80530000.0,19.0,1766358.0,,80
06/08/20,ES,S,85100000.0,153.0,182482944.0,,85
07/10/20,ES,S,92000000.0,2.0,,,92
22/12/23,ES,U,33120000.0,1.0,1725619.48,,33
17/01/22,ES,U,33140000.0,32.0,,M,33
27/04/21,ES,S,50246000.0,1.0,1224913.38,M,50
18/11/21,ES,U,33192300.0,25.0,402913.98,,33
28/02/20,ES,U,30100000.0,9.0,250642.67,M,30
30/07/21,ES,S,60130000.0,23.0,1325451.0,M,60
21/02/19,ES,S,33199000.0,3.0,525426.0,M,33
05/12/18,ES,S,72000000.0,5.0,298160.26,M,72
13/03/19,ES,U,30200000.0,3.0,1280778.33,M,30
